id,Name, titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,/oS890'r
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,4tX1'-Fa
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,"0Cb,s)H!"
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,!aLp8R53
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,Q9gIFt9u
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,"OH78,gDn"
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,0#a1)/G&
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,Yw5piO07
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,li&l5&F!
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,zzd%QJ9I
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,T0EB72!y
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,w!*8#71C
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,Dn0M-F8#
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,"""w#%(85O"
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,"Wq7D/3""8"
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,k'&5$Ze#
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,"-/#X,og9"
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,pP/)!%-3
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,'gR&7)Sg
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,0X5Tni7/
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,!k2tDI38
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,0%WnWm!B
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,T7FU1#zm
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,0zi!2!xF
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,.G2C#l#B
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,"6Vr*x,9I"
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,G90Ylf0L
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,SUF4wqq5
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,"""$Ot4-T&"
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,3nF75zNH
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,22gb)$#T
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,"3.Ou)61"""
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,GO-)P2o.
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,"""k5R4ht/"
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,If&$9K'!
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,8(V$u8A9
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,Zh3##(kN
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,M0unfFI6
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,N#ryZ&73
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,B7Ed5L2/
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,+ZX#7iRw
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,SCQ0*3fe
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,Ezh5JoB11
